country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Afghanistan,2020,38928346,2.50 %,902949,-62920,18.4,4.56,60,25.4 %,9904337,0.50 %,7794798739,37
Afghanistan,2025,43531519,2.26 %,920635,-60000,19.9,4.56,67,26.9 %,11704638,0.53 %,8184437460,37
Afghanistan,2030,48093578,2.01 %,912412,-66018,21.5,4.56,74,28.7 %,13817897,0.56 %,8548487400,35
Afghanistan,2035,52587408,1.80 %,898766,-62359,23.2,4.56,81,31.0 %,16279334,0.59 %,8887524213,33
Afghanistan,2040,56912009,1.59 %,864920,-62360,24.9,4.56,87,33.6 %,19103637,0.62 %,9198847240,32
Afghanistan,2045,60974113,1.39 %,812421,-62216,26.6,4.56,93,36.5 %,22228097,0.64 %,9481803274,31
Afghanistan,2050,64682974,1.19 %,741772, ,28.4,4.56,99,39.4 %,25498515,0.66 %,9735033990,31
Albania,2020,2877797,-0.09 %,-2543,-14000,36.4,1.62,105,63.5 %,1827362,0.04 %,7794798739,140
Albania,2025,2840464,-0.26 %,-7467,-14000,38.4,1.62,104,68.6 %,1948831,0.03 %,8184437460,141
Albania,2030,2786974,-0.38 %,-10698,-11000,40.7,1.62,102,73.1 %,2038245,0.03 %,8548487400,143
Albania,2035,2721082,-0.48 %,-13178,-8000,43.2,1.62,99,76.8 %,2090417,0.03 %,8887524213,145
Albania,2040,2634384,-0.65 %,-17340,-8000,45.7,1.62,96,80.0 %,2106349,0.03 %,9198847240,146
Albania,2045,2533645,-0.78 %,-20148,-8000,47.9,1.62,92,83.0 %,2101720,0.03 %,9481803274,147
Albania,2050,2424061,-0.88 %,-21917, ,50.0,1.62,88,85.9 %,2083271,0.02 %,9735033990,148
Algeria,2020,43851044,1.99 %,824604,-10000,28.5,3.05,18,72.9 %,31950910,0.56 %,7794798739,33
Algeria,2025,47387618,1.56 %,707315,-10000,29.6,3.05,20,74.5 %,35291973,0.58 %,8184437460,33
Algeria,2030,50360749,1.22 %,594626,-10000,30.3,3.05,21,75.9 %,38231625,0.59 %,8548487400,32
Algeria,2035,53015567,1.03 %,530964,-10000,30.8,3.05,22,77.1 %,40881593,0.60 %,8887524213,32
Algeria,2040,55639766,0.97 %,524840,-10000,32.0,3.05,23,78.1 %,43466952,0.60 %,9198847240,34
Algeria,2045,58325558,0.95 %,537158,-10000,33.4,3.05,24,79.0 %,46053277,0.62 %,9481803274,32
Algeria,2050,60923386,0.88 %,519566, ,34.9,3.05,26,79.7 %,48531498,0.63 %,9735033990,34
American Samoa,2020,55191,-0.22 %,-124,,,,276,88.1 %,48630,0 %,7794798739,210
American Samoa,2025,54890,-0.11 %,-60,,,,274,89.8 %,49264,0 %,8184437460,210
American Samoa,2030,54728,-0.06 %,-32,,,,274,91.7 %,50176,0 %,8548487400,211
American Samoa,2035,54521,-0.08 %,-41,,,,273,93.9 %,51202,0 %,8887524213,211
American Samoa,2040,54264,-0.09 %,-51,,,,271,95.4 %,51750,0 %,9198847240,211
American Samoa,2045,53920,-0.13 %,-69,,,,270,96.1 %,51808,0 %,9481803274,211
American Samoa,2050,53581,-0.13 %,-68,,,,268,96.1 %,51518,0 %,9735033990,211
Andorra,2020,77265,-0.19 %,-149,,,,164,87.8 %,67857,0 %,7794798739,203
Andorra,2025,77775,0.13 %,102,,,,165,87.7 %,68233,0 %,8184437460,203
Andorra,2030,77925,0.04 %,30,,,,166,88.1 %,68629,0 %,8548487400,203
Andorra,2035,77978,0.01 %,11,,,,166,88.7 %,69151,0 %,8887524213,203
Andorra,2040,77859,-0.03 %,-24,,,,166,89.5 %,69701,0 %,9198847240,204
Andorra,2045,77316,-0.14 %,-109,,,,165,90.5 %,69991,0 %,9481803274,204
Andorra,2050,76118,-0.31 %,-240,,,,162,91.5 %,69653,0 %,9735033990,204
Angola,2020,32866272,3.34 %,996378,6413,16.7,5.55,26,66.7 %,21936953,0.42 %,7794798739,44
Angola,2025,38478226,3.20 %,1122391,0,17.2,5.55,31,69.8 %,26847887,0.47 %,8184437460,41
Angola,2030,44834712,3.11 %,1271297,-1000,17.9,5.55,36,72.3 %,32437132,0.52 %,8548487400,37
Angola,2035,51952545,2.99 %,1423567,-1000,18.6,5.55,42,74.5 %,38691449,0.58 %,8887524213,35
Angola,2040,59782170,2.85 %,1565925,-999,19.2,5.55,48,76.2 %,45556399,0.65 %,9198847240,30
Angola,2045,68297800,2.70 %,1703126,-1000,19.9,5.55,55,77.7 %,53037025,0.72 %,9481803274,28
Angola,2050,77420346,2.54 %,1824509, ,20.7,5.55,62,79.0 %,61131579,0.80 %,9735033990,24
Anguilla,2020,15003,0.99 %,145,,,,167,N.A.,N.A.,0 %,7794798739,224
Anguilla,2025,15505,0.66 %,100,,,,172,N.A.,N.A.,0 %,8184437460,224
Anguilla,2030,15914,0.52 %,82,,,,177,99.7 %,15867,0 %,8548487400,224
Anguilla,2035,16230,0.39 %,63,,,,180,98.4 %,15977,0 %,8887524213,224
Anguilla,2040,16443,0.26 %,43,,,,183,97.1 %,15960,0 %,9198847240,224
Anguilla,2045,16541,0.12 %,20,,,,184,95.8 %,15852,0 %,9481803274,224
