country,year,population,yearly change (%),yearly change,migrants (net),median age,fertility rate,density (p/km2),urban population (%),urban population,country's shared of world population,world population,rank
Afghanistan,2020,38928346,2.33 %,886592,-62920,18.4,4.56,60,25.4 %,9904337,0.50 %,7794798739.0,37.0
Afghanistan,2019,38041754,2.34 %,869833,-62920,17.4,5.26,58,25.2 %,9582625,0.49 %,7713468100.0,37.0
Afghanistan,2018,37171921,2.41 %,875808,-62920,17.4,5.26,57,24.9 %,9273302,0.49 %,7631091040.0,38.0
Afghanistan,2017,36296113,2.58 %,913081,-62920,17.4,5.26,56,24.7 %,8971472,0.48 %,7547858925.0,39.0
Afghanistan,2016,35383032,2.82 %,969429,-62920,17.4,5.26,54,24.5 %,8670939,0.47 %,7464022049.0,39.0
Afghanistan,2015,34413603,3.35 %,1045619,104354,17.2,5.45,53,24.3 %,8367571,0.47 %,7379797139.0,40.0
Afghanistan,2010,29185507,2.61 %,706246,-209272,15.9,6.48,45,23.4 %,6836980,0.42 %,6956823603.0,40.0
Afghanistan,2005,25654277,4.30 %,974865,148839,16.0,7.18,39,22.2 %,5691836,0.39 %,6541907027.0,45.0
Afghanistan,2000,20779953,2.79 %,533859,-173508,15.5,7.65,32,21.3 %,4436282,0.34 %,6143493823.0,48.0
Afghanistan,1995,18110657,7.85 %,1139670,615277,16.0,7.48,28,20.4 %,3697570,0.32 %,5744212979.0,50.0
Afghanistan,1990,12412308,0.78 %,94820,-305070,15.8,7.47,19,20.9 %,2593947,0.23 %,5327231061.0,57.0
Afghanistan,1985,11938208,-2.22 %,-283661,-669019,16.2,7.45,18,18.8 %,2238468,0.25 %,4870921740.0,56.0
Afghanistan,1980,13356511,1.03 %,133470,-230792,16.9,7.45,20,15.9 %,2119078,0.30 %,4458003514.0,51.0
Afghanistan,1975,12689160,2.58 %,303104,-4000,17.3,7.45,19,13.5 %,1717422,0.31 %,4079480606.0,48.0
Afghanistan,1970,11173642,2.33 %,243464,-4000,17.9,7.45,17,11.6 %,1295433,0.30 %,3700437046.0,48.0
Afghanistan,1965,9956320,2.05 %,191869,-4000,18.4,7.45,15,9.9 %,984350,0.30 %,3339583597.0,48.0
Afghanistan,1960,8996973,1.70 %,145196,-4000,18.8,7.45,14,8.4 %,755797,0.30 %,3034949748.0,48.0
Afghanistan,1955,8270991,1.30 %,103775,-4000,19.2,7.45,13,7.1 %,587818,0.30 %,2773019936.0,48.0
Albania,2020,2877797,-0.11 %,-3120,-14000,36.4,1.62,105,63.5 %,1827362,0.04 %,7794798739.0,140.0
Albania,2019,2880917,-0.06 %,-1823,-14000,35.2,1.69,105,62.5 %,1799162,0.04 %,7713468100.0,140.0
Albania,2018,2882740,-0.05 %,-1429,-14000,35.2,1.69,105,61.4 %,1769975,0.04 %,7631091040.0,140.0
Albania,2017,2884169,-0.08 %,-2269,-14000,35.2,1.69,105,60.3 %,1740032,0.04 %,7547858925.0,140.0
Albania,2016,2886438,-0.14 %,-4075,-14000,35.2,1.69,105,59.2 %,1709611,0.04 %,7464022049.0,141.0
Albania,2015,2890513,-0.39 %,-11502,-27318,34.9,1.71,105,58.1 %,1679011,0.04 %,7379797139.0,141.0
Albania,2010,2948023,-0.92 %,-27757,-43472,32.2,1.64,108,52.0 %,1533860,0.04 %,6956823603.0,138.0
Albania,2005,3086810,-0.27 %,-8487,-35355,29.1,1.95,113,46.6 %,1438933,0.05 %,6541907027.0,134.0
Albania,2000,3129243,0.10 %,3261,-35921,27.0,2.38,114,41.6 %,1303137,0.05 %,6143493823.0,131.0
Albania,1995,3112936,-1.08 %,-34627,-88642,24.6,2.79,114,38.8 %,1208874,0.05 %,5744212979.0,130.0
Albania,1990,3286073,2.05 %,63280,-20,24.0,3.15,120,36.4 %,1195379,0.06 %,5327231061.0,125.0
Albania,1985,2969672,2.05 %,57396,-20,22.8,3.41,108,35.0 %,1040849,0.06 %,4870921740.0,125.0
Albania,1980,2682690,2.15 %,54192,-20,21.4,3.9,98,33.7 %,905234,0.06 %,4458003514.0,125.0
Albania,1975,2411732,2.32 %,52205,-20,20.2,4.6,88,32.7 %,788758,0.06 %,4079480606.0,126.0
Albania,1970,2150707,2.55 %,50907,-20,19.6,5.26,78,31.7 %,682607,0.06 %,3700437046.0,125.0
Albania,1965,1896171,2.99 %,52016,-20,19.7,6.23,69,31.2 %,592158,0.06 %,3339583597.0,127.0
Albania,1960,1636090,2.87 %,43219,-20,20.2,6.55,60,30.7 %,502359,0.05 %,3034949748.0,124.0
Albania,1955,1419994,2.37 %,31364,-20,20.6,6.23,52,26.9 %,381458,0.05 %,2773019936.0,127.0
Algeria,2020,43851044,1.85 %,797990,-10000,28.5,3.05,18,72.9 %,31950910,0.56 %,7794798739.0,33.0
Algeria,2019,43053054,1.95 %,824646,-10000,27.7,2.98,18,72.6 %,31236431,0.56 %,7713468100.0,34.0
Algeria,2018,42228408,2.03 %,839219,-10000,27.7,2.98,18,72.2 %,30510016,0.55 %,7631091040.0,34.0
Algeria,2017,41389189,2.07 %,837797,-10000,27.7,2.98,17,71.9 %,29770610,0.55 %,7547858925.0,33.0
Algeria,2016,40551392,2.07 %,823367,-10000,27.7,2.98,17,71.6 %,29016515,0.54 %,7464022049.0,33.0
Algeria,2015,39728025,2.00 %,750114,-28654,27.5,2.96,17,71.1 %,28248247,0.54 %,7379797139.0,33.0
Algeria,2010,35977455,1.65 %,565546,-71468,26.0,2.72,15,67.8 %,24393696,0.52 %,6956823603.0,34.0
Algeria,2005,33149724,1.32 %,421498,-41046,24.1,2.38,14,64.1 %,21247946,0.51 %,6541907027.0,34.0
Algeria,2000,31042235,1.54 %,456890,-32883,21.7,2.89,13,60.2 %,18684813,0.51 %,6143493823.0,34.0
Algeria,1995,28757785,2.23 %,599783,-25736,19.4,4.12,12,56.3 %,16185664,0.50 %,5744212979.0,34.0
Algeria,1990,25758869,2.80 %,665473,-18660,18.0,5.3,11,52.4 %,13496502,0.48 %,5327231061.0,33.0
Algeria,1985,22431502,3.14 %,641967,-16204,17.1,6.32,9,48.3 %,10824400,0.46 %,4870921740.0,35.0
Algeria,1980,19221665,2.97 %,522792,-44967,16.7,7.18,8,43.8 %,8419984,0.43 %,4458003514.0,35.0
Algeria,1975,16607707,2.80 %,428544,-50687,16.5,7.57,7,40.6 %,6738763,0.41 %,4079480606.0,35.0
Algeria,1970,14464985,2.88 %,382820,-24267,16.4,7.65,6,39.7 %,5747203,0.39 %,3700437046.0,36.0
Algeria,1965,12550885,2.57 %,298604,-56588,16.6,7.65,5,37.9 %,4753122,0.38 %,3339583597.0,38.0
Algeria,1960,11057863,2.50 %,256716,-38371,17.8,7.38,5,30.7 %,3394238,0.36 %,3034949748.0,37.0
Algeria,1955,9774283,1.96 %,180407,-71989,18.5,7.28,4,26.3 %,2570392,0.35 %,2773019936.0,38.0
American Samoa,2019,55312,-0.28 %,-153,277,87.8 %,48565,0.00 %,7713468100,210,,,
American Samoa,2018,55465,-0.28 %,-155,277,87.5 %,48526,0.00 %,7631091040,210,,,
American Samoa,2017,55620,-0.22 %,-121,278,87.2 %,48502,0.00 %,7547858925,210,,,
American Samoa,2016,55741,-0.13 %,-71,279,87 %,48481,0 %,7464022049,210,,,
American Samoa,2015,55812,-0.1 %,-53,279,86.8 %,48449,0 %,7379797139,209,,,
American Samoa,2010,56079,-1.2 %,-697,280,86.9 %,48735,0 %,6956823603,209,,,
American Samoa,2005,59562,0.6 %,348,298,87.4 %,52083,0 %,6541907027,206,,,
American Samoa,2000,57821,1.69 %,932,289,88.1 %,50956,0 %,6143493823,206,,,
American Samoa,1995,53161,2.34 %,1163,266,84.8 %,45086,0 %,5744212979,207,,,
American Samoa,1990,47347,3.68 %,1566,237,80.4 %,38076,0 %,5327231061,207,,,
American Samoa,1985,39519,3.9 %,1375,198,77.2 %,30515,0 %,4870921740,209,,,
American Samoa,1980,32646,1.67 %,519,163,73.9 %,24125,0 %,4458003514,209,,,
American Samoa,1975,30052,1.89 %,538,150,72.1 %,21657,0 %,4079480606,210,,,
American Samoa,1970,27363,2.94 %,738,137,70.2 %,19209,0 %,3700437046,209,,,
American Samoa,1965,23672,3.3 %,710,118,53.3 %,12613,0 %,3339583597,208,,,
American Samoa,1960,20123,0.37 %,74,101,65.9 %,13251,0 %,3034949748,210,,,
American Samoa,1955,19754,0.85 %,163,99,63.9 %,12613,0 %,2773019936,208,,,
Andorra,2019,77142,0.18 %,136,164,87.9 %,67811,0.00 %,7713468100,203,,,
